date,date_approx,site_group,site_bucket,vis_ft_low,vis_ft_high,vis_ft_mid
2026-08-22,1,McAbee,bay_shore,10,15,12.5
2026-08-22,0,South Monastery,carmel_shore,40,40,40
2026-08-23,0,Point Lobos,lobos,60,60,60
2026-08-24,1,McAbee,bay_shore,20,30,25
2026-08-24,1,Otter Cove,boat,20,20,20
2026-08-23,1,South Monastery,carmel_shore,20,45,32.5
2026-08-22,0,McAbee,bay_shore,15,30,22.5
2026-08-20,1,Lovers Cove,bay_shore,15,20,17.5
2026-08-20,1,Great Pinnacle,boat,15,50,32.5
2026-08-20,1,North Monastery,carmel_shore,39,39,39
2026-08-22,1,Point Lobos / Beto's,lobos,20,70,45
2026-08-22,0,Point Pinos,boat,20,25,22.5
2026-08-20,1,Butterfly House / Carmel River,carmel_shore,33,33,33
2026-08-19,0,McAbee,bay_shore,10,15,12.5
2026-08-16,1,Point Lobos,lobos,40,50,45
2026-08-15,1,Point Lobos / Montana,lobos,50,50,50
2026-08-15,1,South Monastery,carmel_shore,20,20,20
2026-08-15,1,Point Lobos / Montana,lobos,40,50,45
2026-08-15,1,North Monastery,carmel_shore,20,20,20
2026-08-15,1,Point Lobos,lobos,40,60,50
2026-08-15,1,Point Lobos / Beto's,lobos,15,50,32.5
2026-08-15,1,Point Lobos / Montana,lobos,60,60,60
2026-08-15,1,Point Lobos,lobos,30,30,30
2026-08-15,1,Breakwater,bay_shore,15,25,20
2026-08-11,0,Breakwater,bay_shore,10,10,10
2026-08-09,1,Point Lobos / Whaler's Cove,lobos,15,20,17.5
2026-08-08,0,Metridium Mountain,boat,10,10,10
2026-08-08,0,Point Lobos / Beto's,lobos,5,10,7.5
2026-08-08,1,Breakwater,bay_shore,15,15,15
2026-08-07,0,Mt Chetron,boat,5,7,6
2026-08-07,1,San Carlos / Breakwater,bay_shore,6,10,8
2026-08-06,0,Mile Marker Buoy,boat,5,15,10
2026-08-06,0,North Monastery,carmel_shore,4,4,4
2026-08-06,0,San Carlos / Breakwater,bay_shore,5,5,5
2026-08-05,0,Kawika's Garden,boat,3,20,11.5
2026-08-04,1,Deep Shale Island,boat,5,20,12.5
2026-08-01,1,South Monastery,carmel_shore,30,30,30
2026-08-01,1,McAbee,bay_shore,30,30,30
2026-07-30,1,Metridium Mountain,boat,35,35,35
2026-07-29,0,Breakwater,bay_shore,7,15,11
2026-07-25,0,South Monastery,carmel_shore,10,40,25
2026-07-27,1,Del Monte,boat,20,20,20
2026-07-25,1,McAbee,bay_shore,20,20,20
2026-07-24,1,Breakwater,bay_shore,10,25,17.5
2026-07-24,0,Breakwater,bay_shore,15,15,15
2026-07-23,0,Breakwater,bay_shore,15,25,20
2026-07-22,0,Breakwater,bay_shore,5,15,10
2026-07-22,0,Breakwater,bay_shore,15,20,17.5
2026-07-22,0,Point Lobos,lobos,10,20,15
2026-07-22,0,Point Lobos,lobos,10,20,15
2026-07-20,0,Point Lobos,lobos,15,20,17.5
2026-07-18,0,North Monastery,carmel_shore,25,25,25
2026-07-18,0,Breakwater,bay_shore,10,18,14
2026-07-18,1,Point Lobos,lobos,40,40,40
2026-07-15,1,Point Lobos / Beto's,lobos,15,50,32.5
2026-07-15,1,Cannery Row,boat,10,25,17.5
2026-07-15,1,Hopkins,boat,5,20,12.5
2026-07-15,1,Lovers Point,bay_shore,10,10,10
2026-07-13,1,North of Ribera,boat,15,25,20
2026-07-13,1,Breakwater,bay_shore,15,30,22.5
2026-07-12,0,Point Lobos / Beto's,lobos,10,30,20
2026-07-12,1,Point Lobos,lobos,10,60,35
2026-07-11,0,Hopkins,boat,20,60,40
2026-07-11,1,Breakwater,bay_shore,30,30,30
2026-07-11,1,San Carlos / Breakwater,bay_shore,20,30,25
2026-07-11,1,South Monastery,carmel_shore,30,30,30
2026-07-10,1,Breakwater,bay_shore,15,30,22.5
2026-07-10,1,Point Lobos,lobos,20,60,40
2026-07-04,0,Mr. Ed,boat,20,20,20
2026-07-04,0,Hopkins,boat,15,15,15
2026-07-06,0,North Monastery,carmel_shore,20,20,20
2026-07-03,0,Shale Island,boat,15,20,17.5
2026-07-03,0,VT 3,boat,15,20,17.5
2026-07-03,0,Point Lobos,lobos,30,30,30
2026-07-04,0,Mr. Ed,boat,15,15,15
2026-07-04,0,Cabrillo Point,boat,15,15,15
2026-06-27,0,Russian Gulch (outside Monterey),boat,15,20,17.5
2026-06-29,0,Point Lobos / Beto's,lobos,30,40,35
2026-06-27,0,Point Lobos,lobos,20,20,20
2026-06-27,0,North Monastery,carmel_shore,10,15,12.5
2026-06-26,0,Lovers Point,bay_shore,15,25,20
2026-06-23,0,McAbee,bay_shore,25,35,30
2026-06-22,0,McAbee,bay_shore,30,30,30
2026-06-21,0,Point Lobos / Beto's,lobos,30,40,35
2026-06-20,0,North Monastery,carmel_shore,30,35,32.5
2026-06-20,0,Point Lobos / Montana,lobos,30,40,35
2026-06-19,0,Point Lobos / Montana,lobos,50,50,50
2026-06-19,0,Point Lobos / Beto's,lobos,40,40,40
2026-06-17,0,McAbee,bay_shore,30,40,35
2026-06-18,0,Breakwater,bay_shore,25,25,25
2026-06-14,0,Ribera Beach,boat,5,5,5
2026-06-15,0,Big Sur,boat,25,25,25
2026-06-14,0,Point Lobos,lobos,3,5,4
2026-06-06,0,Breakwater,bay_shore,10,15,12.5
2026-06-05,0,Point Lobos / Whaler's Cove,lobos,5,5,5
2026-06-05,0,Point Lobos / Sea Mount,lobos,30,30,30
2026-06-01,0,Mr. Ed,boat,25,25,25
2026-06-01,0,McAbee,bay_shore,25,25,25
2026-05-21,0,unknown,boat,20,20,20
2026-03-15,0,Mr. Ed,boat,15,15,15
2026-03-15,0,VT 3,boat,15,15,15
2026-03-04,0,McAbee,bay_shore,15,20,17.5
2026-02-23,0,Tanker's Reef,boat,3,3,3
2026-02-22,0,North Monastery,carmel_shore,60,75,67.5
2026-02-07,0,Mr. Ed,boat,20,20,20
2026-02-07,0,Mt Chetron,boat,20,20,20
2026-01-19,0,Point Lobos,lobos,30,40,35
2025-09-05,0,Metridium Mountain,boat,10,15,12.5
2025-09-05,0,McAbee,bay_shore,10,15,12.5
2025-08-09,0,South Monastery,carmel_shore,40,40,40
2025-06-21,0,Point Lobos,lobos,20,20,20
2025-05-28,0,South Monastery,carmel_shore,30,30,30
2024-09-29,0,Stillwater Cove,carmel_shore,0,1,0.5
2024-08-10,0,Breakwater,bay_shore,0,10,5
2024-08-11,0,Wharf,bay_shore,0,10,5
2023-10-05,0,Breakwater,bay_shore,15,25,20
2023-10-05,0,Breakwater,bay_shore,10,15,12.5
2022-09-14,0,Metridium Mountain,boat,30,30,30
2021-11-22,0,unknown,boat,20,30,25
2021-06-09,0,Tanker's Reef,boat,15,15,15
2021-06-04,0,Tanker's Reef,boat,10,15,12.5
2020-06-14,0,Copper Roof,boat,50,50,50
2019-12-08,0,McAbee,bay_shore,20,30,25
2019-12-08,0,Metridium Mountain,boat,20,30,25
2019-11-10,1,North Monastery,carmel_shore,40,40,40
2019-11-03,0,North Monastery,carmel_shore,30,30,30
2019-09-02,0,South Monastery,carmel_shore,30,30,30
2019-05-05,0,Ball Buster,boat,70,100,85
2019-05-04,0,Pescadero Pinnacles,boat,50,50,50
2018-09-22,1,Stillwater Cove,carmel_shore,1,10,5.5
2018-08-15,0,Breakwater,bay_shore,5,20,12.5
2018-03-11,0,South Monastery,carmel_shore,40,40,40
2018-02-03,0,Stillwater Cove,carmel_shore,60,70,65
2018-02-03,0,Stillwater Cove,carmel_shore,45,45,45
2017-11-29,0,South Monastery,carmel_shore,60,60,60
2017-11-18,0,Outer Pinnacles (Carmel),boat,40,40,40
2017-11-18,0,Joe's Point,boat,30,30,30
2025-10-04,0,Point Lobos / Montana,lobos,60,60,60
2025-10-04,0,Point Lobos,lobos,20,20,20
2025-10-04,0,Point Lobos / Whaler's Cove,lobos,5,10,7.5
2025-09-19,0,Lovers Point,bay_shore,5,7,6
2025-09-06,0,South Monastery,carmel_shore,30,50,40
2025-06-14,0,Point Lobos,lobos,50,50,50
2025-11-29,0,Breakwater,bay_shore,10,40,25
2025-05-31,0,Metridium Mountain,boat,30,30,30
2024-09-16,0,Point Lobos / Whaler's Cove,lobos,6,10,8
2024-09-16,0,Point Lobos,lobos,10,20,15
2024-06-29,0,Breakwater,bay_shore,40,40,40
2024-06-29,0,Breakwater,bay_shore,20,20,20
2023-06-25,0,Outer Pinnacles (Carmel),boat,70,70,70
2023-05-20,0,Butterfly House / Carmel River,carmel_shore,50,50,50
2019-12-01,0,San Carlos / Breakwater,bay_shore,30,40,35
2019-08-02,0,McAbee,bay_shore,30,30,30
2019-08-02,0,North Monastery,carmel_shore,30,50,40
2019-05-04,0,Ball Buster,boat,70,70,70
2018-06-09,0,Shale Island,boat,0.25,0.25,0.25
2018-06-09,0,Eric's Pinnacle,boat,5,5,5
2026-05-20,0,Metridium Mountain,boat,2,8,5
2026-04-26,0,San Carlos / Breakwater,bay_shore,20,20,20
2026-04-05,0,Boat / Monterey,boat,30,30,30
2020-01-26,0,Point Lobos,lobos,30,40,35
2020-01-26,0,Point Lobos,lobos,30,40,35
2020-01-26,0,Point Lobos,lobos,30,40,35
2020-01-26,0,Point Lobos,lobos,30,40,35
2020-01-26,0,Point Lobos / Whaler's Cove,lobos,30,40,35
2020-01-26,0,Point Lobos,lobos,30,30,30
2020-01-27,0,Breakwater,bay_shore,20,20,20
2020-02-13,0,Breakwater,bay_shore,20,30,25
2020-02-11,0,Breakwater,bay_shore,5,10,7.5
2020-05-16,0,McAbee,bay_shore,15,20,17.5
2020-05-16,0,McAbee,bay_shore,10,15,12.5
2020-05-27,0,Breakwater,bay_shore,20,25,22.5
2020-06-27,0,Wharf,bay_shore,10,15,12.5
2020-07-11,0,Butterfly House / Carmel River,carmel_shore,40,40,40
2020-07-26,0,Wharf,bay_shore,20,20,20
2020-08-09,0,McAbee,bay_shore,6,45,25.5
2020-08-15,0,Point Lobos,lobos,5,30,17.5
2020-08-15,0,South Monastery,carmel_shore,25,30,27.5
2020-08-17,0,North Monastery,carmel_shore,30,40,35
2020-09-04,0,Lovers Point,bay_shore,21,21,21
2020-09-11,0,Shale Island,boat,40,40,40
2020-09-13,0,Breakwater,bay_shore,40,40,40
2020-09-18,0,Breakwater,bay_shore,20,30,25
2020-09-18,0,Breakwater,bay_shore,10,15,12.5
2020-10-03,0,Monastery,carmel_shore,25,25,25
2020-10-31,0,Breakwater,bay_shore,10,15,12.5
2020-12-23,0,Breakwater,bay_shore,30,30,30
2021-01-24,0,Breakwater,bay_shore,20,20,20
2021-01-31,0,Breakwater,bay_shore,30,30,30
2021-02-12,0,Soberanes,boat,25,30,27.5
2021-02-27,0,Breakwater,bay_shore,5,10,7.5
2021-03-06,0,Breakwater,bay_shore,5,8,6.5
2021-04-25,0,San Carlos / Breakwater,bay_shore,10,15,12.5
2021-04-26,0,Wharf,bay_shore,20,20,20
2021-04-26,0,Breakwater,bay_shore,20,20,20
2021-06-19,0,San Carlos / Breakwater,bay_shore,3,3,3
2021-08-11,0,Lovers Point,bay_shore,40,40,40
2021-08-13,0,Aumentos,boat,20,20,20
2021-08-13,0,Cabrillo Point,boat,20,20,20
2021-12-19,0,North Monastery,carmel_shore,60,60,60
